seed,interpretation_guard,matching.block_pairwise_exact,matching.frequency_exact,matching.item_set_pairwise_exact,matching.only_difference,matching.slot_position_pairwise_exact,matching.source_line_pairwise_exact,matching.timestamp_pairwise_exact_via_same_source_slot,metrics.counterfactual_score_auc,metrics.expected_total_m_times_sum_dcf,metrics.frequency_auc,metrics.mean_d_cf,metrics.mean_paired_score_gap,metrics.paired_gap_nonpositive_fraction,metrics.paired_gap_positive_fraction,metrics.paired_predictive_misordering_probability,metrics.paired_raw_misordering_probability,metrics.predicted_mean_gap_r_times_mean_dcf,metrics.predictive_centered_world_score_auc,metrics.raw_world_score_auc,metrics.reuse_law_abs_error,metrics.total_gap_conservation_abs_error,metrics.total_paired_gap,n_edges_per_group,n_pairs,reuse_r,selected_lambda,stage,stage4_attack_world_sha256,_source_member
10,"This is an exact counterfactual matched-twin experiment. It does not claim that the synthetic control identities are historical Amazon accounts. Their underlying clean actions, item contexts, positions, timestamps, and ratings are real; only identity labels are regrouped to create exact matched activity.",True,True,True,coalition member occupies attacked version of the slot; control twin occupies exact clean counterpart,True,True,True,0.728,917.9079447883615,0.5,0.07649232873236346,0.6119386298589078,0.272,0.728,0.272,0.272,0.6119386298589077,0.756352,0.751264,1.1102230246251565e-16,2.2737367544323206e-13,917.9079447883618,12000,1500,8,20.0,amazon_stage5_exact_matched_twins_r8,0c38945661ccd4eb0be69f9fc79f2cafb76d8e94a0daaa9265416f4bb9850934,stage5/seed_010/summary.json
11,"This is an exact counterfactual matched-twin experiment. It does not claim that the synthetic control identities are historical Amazon accounts. Their underlying clean actions, item contexts, positions, timestamps, and ratings are real; only identity labels are regrouped to create exact matched activity.",True,True,True,coalition member occupies attacked version of the slot; control twin occupies exact clean counterpart,True,True,True,0.804,1138.7132254642884,0.5,0.09489276878869068,0.7591421503095255,0.196,0.804,0.196,0.196,0.7591421503095255,0.797728,0.787632,0.0,2.2737367544323206e-13,1138.7132254642881,12000,1500,8,20.0,amazon_stage5_exact_matched_twins_r8,c21565ab259766109fbad2ce0c51e5c9061a832b8f039bd88de567c7dccbdfd8,stage5/seed_011/summary.json
12,"This is an exact counterfactual matched-twin experiment. It does not claim that the synthetic control identities are historical Amazon accounts. Their underlying clean actions, item contexts, positions, timestamps, and ratings are real; only identity labels are regrouped to create exact matched activity.",True,True,True,coalition member occupies attacked version of the slot; control twin occupies exact clean counterpart,True,True,True,0.748,850.5206156673771,0.5,0.07087671797228143,0.5670137437782513,0.252,0.748,0.252,0.252,0.5670137437782514,0.741328,0.73064,1.1102230246251565e-16,1.1368683772161603e-13,850.520615667377,12000,1500,8,20.0,amazon_stage5_exact_matched_twins_r8,2000cdf3e6201d6269f26826102349cb4709bdcc762a2a2a521ed0f03d1301f9,stage5/seed_012/summary.json
13,"This is an exact counterfactual matched-twin experiment. It does not claim that the synthetic control identities are historical Amazon accounts. Their underlying clean actions, item contexts, positions, timestamps, and ratings are real; only identity labels are regrouped to create exact matched activity.",True,True,True,coalition member occupies attacked version of the slot; control twin occupies exact clean counterpart,True,True,True,0.704,825.4531295434389,0.5,0.06878776079528658,0.5503020863622926,0.296,0.704,0.296,0.296,0.5503020863622926,0.73232,0.724304,0.0,1.1368683772161603e-13,825.453129543439,12000,1500,8,20.0,amazon_stage5_exact_matched_twins_r8,9d39ffd155ab7fd116dba14b81bb290a47241c4ade8fcd1db0d440ce3c2e228c,stage5/seed_013/summary.json
14,"This is an exact counterfactual matched-twin experiment. It does not claim that the synthetic control identities are historical Amazon accounts. Their underlying clean actions, item contexts, positions, timestamps, and ratings are real; only identity labels are regrouped to create exact matched activity.",True,True,True,coalition member occupies attacked version of the slot; control twin occupies exact clean counterpart,True,True,True,0.76,832.148611022211,0.5,0.06934571758518425,0.554765740681474,0.24,0.76,0.24,0.24,0.554765740681474,0.750192,0.742704,0.0,1.1368683772161603e-13,832.1486110222111,12000,1500,8,20.0,amazon_stage5_exact_matched_twins_r8,c67a3f67383634c1d19186c12a6834aeb361ea0ebee9c21ef575a96a6cb0eae5,stage5/seed_014/summary.json
15,"This is an exact counterfactual matched-twin experiment. It does not claim that the synthetic control identities are historical Amazon accounts. Their underlying clean actions, item contexts, positions, timestamps, and ratings are real; only identity labels are regrouped to create exact matched activity.",True,True,True,coalition member occupies attacked version of the slot; control twin occupies exact clean counterpart,True,True,True,0.776,954.99683022284,0.5,0.07958306918523667,0.6366645534818934,0.224,0.776,0.224,0.224,0.6366645534818933,0.7644,0.75848,1.1102230246251565e-16,1.1368683772161603e-13,954.9968302228401,12000,1500,8,20.0,amazon_stage5_exact_matched_twins_r8,28993c11fcb5bead56ad7e49a420a4142473930e0b813f93c0669f8d75341534,stage5/seed_015/summary.json
16,"This is an exact counterfactual matched-twin experiment. It does not claim that the synthetic control identities are historical Amazon accounts. Their underlying clean actions, item contexts, positions, timestamps, and ratings are real; only identity labels are regrouped to create exact matched activity.",True,True,True,coalition member occupies attacked version of the slot; control twin occupies exact clean counterpart,True,True,True,0.78,933.7685701484079,0.5,0.07781404751236733,0.6225123800989386,0.22,0.78,0.22,0.22,0.6225123800989386,0.753408,0.746016,0.0,0.0,933.7685701484079,12000,1500,8,20.0,amazon_stage5_exact_matched_twins_r8,b543c2889d8a364a0d75b517e05287881fb16db5f42ef92300eda421cd408090,stage5/seed_016/summary.json
17,"This is an exact counterfactual matched-twin experiment. It does not claim that the synthetic control identities are historical Amazon accounts. Their underlying clean actions, item contexts, positions, timestamps, and ratings are real; only identity labels are regrouped to create exact matched activity.",True,True,True,coalition member occupies attacked version of the slot; control twin occupies exact clean counterpart,True,True,True,0.748,950.3416661332653,0.5,0.07919513884443877,0.6335611107555101,0.252,0.748,0.252,0.252,0.6335611107555101,0.75984,0.755008,0.0,1.1368683772161603e-13,950.3416661332652,12000,1500,8,20.0,amazon_stage5_exact_matched_twins_r8,d8ad716247b9b260d6e7a9b557c859f2598db45a4989149d4be2088bb5f3ba46,stage5/seed_017/summary.json
18,"This is an exact counterfactual matched-twin experiment. It does not claim that the synthetic control identities are historical Amazon accounts. Their underlying clean actions, item contexts, positions, timestamps, and ratings are real; only identity labels are regrouped to create exact matched activity.",True,True,True,coalition member occupies attacked version of the slot; control twin occupies exact clean counterpart,True,True,True,0.668,793.6833263229123,0.5,0.06614027719357603,0.5291222175486083,0.332,0.668,0.332,0.332,0.5291222175486082,0.728192,0.719024,1.1102230246251565e-16,1.1368683772161603e-13,793.6833263229124,12000,1500,8,20.0,amazon_stage5_exact_matched_twins_r8,c6c34d9c1845c8193060d5a7fffcfb3fe6c1b04aaca4eb7b1bdb73b41f7e431e,stage5/seed_018/summary.json
19,"This is an exact counterfactual matched-twin experiment. It does not claim that the synthetic control identities are historical Amazon accounts. Their underlying clean actions, item contexts, positions, timestamps, and ratings are real; only identity labels are regrouped to create exact matched activity.",True,True,True,coalition member occupies attacked version of the slot; control twin occupies exact clean counterpart,True,True,True,0.748,816.5751419610283,0.5,0.06804792849675237,0.544383427974019,0.252,0.748,0.252,0.252,0.544383427974019,0.731104,0.723936,0.0,1.1368683772161603e-13,816.5751419610284,12000,1500,8,20.0,amazon_stage5_exact_matched_twins_r8,64706dcc2ab35cd0aaa6c2379b626853e7f0009638dad769dfd6a16181faa757,stage5/seed_019/summary.json
20,"This is an exact counterfactual matched-twin experiment. It does not claim that the synthetic control identities are historical Amazon accounts. Their underlying clean actions, item contexts, positions, timestamps, and ratings are real; only identity labels are regrouped to create exact matched activity.",True,True,True,coalition member occupies attacked version of the slot; control twin occupies exact clean counterpart,True,True,True,0.724,881.5839837784952,0.5,0.07346533198154127,0.5877226558523302,0.276,0.724,0.276,0.276,0.5877226558523302,0.74544,0.740016,0.0,1.1368683772161603e-13,881.5839837784953,12000,1500,8,20.0,amazon_stage5_exact_matched_twins_r8,f5806d5fc0779cadbd48eaa7e615cd0cf4a223c7a60b9e9604e1e4989acd581b,stage5/seed_020/summary.json
21,"This is an exact counterfactual matched-twin experiment. It does not claim that the synthetic control identities are historical Amazon accounts. Their underlying clean actions, item contexts, positions, timestamps, and ratings are real; only identity labels are regrouped to create exact matched activity.",True,True,True,coalition member occupies attacked version of the slot; control twin occupies exact clean counterpart,True,True,True,0.756,879.7855140315105,0.5,0.07331545950262587,0.586523676021007,0.244,0.756,0.244,0.244,0.586523676021007,0.746128,0.73896,0.0,0.0,879.7855140315105,12000,1500,8,20.0,amazon_stage5_exact_matched_twins_r8,424d6aab5d27a2beccb22ed550ba1284f084ce57b8a57e96bae41de0adc83da8,stage5/seed_021/summary.json
22,"This is an exact counterfactual matched-twin experiment. It does not claim that the synthetic control identities are historical Amazon accounts. Their underlying clean actions, item contexts, positions, timestamps, and ratings are real; only identity labels are regrouped to create exact matched activity.",True,True,True,coalition member occupies attacked version of the slot; control twin occupies exact clean counterpart,True,True,True,0.74,854.2026412523662,0.5,0.07118355343769718,0.5694684275015774,0.26,0.74,0.26,0.26,0.5694684275015774,0.755744,0.752416,0.0,0.0,854.2026412523662,12000,1500,8,20.0,amazon_stage5_exact_matched_twins_r8,972d804efac22e959ce67067b77e2d80ea58f4dcec72a4a8178a99dba64344b0,stage5/seed_022/summary.json
23,"This is an exact counterfactual matched-twin experiment. It does not claim that the synthetic control identities are historical Amazon accounts. Their underlying clean actions, item contexts, positions, timestamps, and ratings are real; only identity labels are regrouped to create exact matched activity.",True,True,True,coalition member occupies attacked version of the slot; control twin occupies exact clean counterpart,True,True,True,0.74,946.5551531167421,0.5,0.07887959609306183,0.6310367687444945,0.26,0.74,0.26,0.26,0.6310367687444947,0.75128,0.74448,1.1102230246251565e-16,2.2737367544323206e-13,946.5551531167418,12000,1500,8,20.0,amazon_stage5_exact_matched_twins_r8,1e9974b35070a6b4452ddd03ac0cfd81d64a10258a0b3770545e39bd77586b00,stage5/seed_023/summary.json
24,"This is an exact counterfactual matched-twin experiment. It does not claim that the synthetic control identities are historical Amazon accounts. Their underlying clean actions, item contexts, positions, timestamps, and ratings are real; only identity labels are regrouped to create exact matched activity.",True,True,True,coalition member occupies attacked version of the slot; control twin occupies exact clean counterpart,True,True,True,0.76,917.5976161520106,0.5,0.07646646801266754,0.6117317441013403,0.24,0.76,0.24,0.24,0.6117317441013403,0.749312,0.741872,0.0,1.1368683772161603e-13,917.5976161520105,12000,1500,8,20.0,amazon_stage5_exact_matched_twins_r8,100858967310b2ce6b5c95d4fc52144d9a344e5026d0719dfc8c6bbfa1ba14d5,stage5/seed_024/summary.json
25,"This is an exact counterfactual matched-twin experiment. It does not claim that the synthetic control identities are historical Amazon accounts. Their underlying clean actions, item contexts, positions, timestamps, and ratings are real; only identity labels are regrouped to create exact matched activity.",True,True,True,coalition member occupies attacked version of the slot; control twin occupies exact clean counterpart,True,True,True,0.76,966.5761025411255,0.5,0.0805480085450938,0.6443840683607504,0.24,0.76,0.24,0.24,0.6443840683607504,0.76696,0.758048,0.0,0.0,966.5761025411255,12000,1500,8,20.0,amazon_stage5_exact_matched_twins_r8,ce7a602e8c19a5ae0d8b5d17ca51c8dba79170e2773c1bac4df4034ce2a26b3e,stage5/seed_025/summary.json
26,"This is an exact counterfactual matched-twin experiment. It does not claim that the synthetic control identities are historical Amazon accounts. Their underlying clean actions, item contexts, positions, timestamps, and ratings are real; only identity labels are regrouped to create exact matched activity.",True,True,True,coalition member occupies attacked version of the slot; control twin occupies exact clean counterpart,True,True,True,0.752,941.3753970793978,0.5,0.07844794975661648,0.6275835980529317,0.248,0.752,0.248,0.248,0.6275835980529318,0.770688,0.762896,1.1102230246251565e-16,1.1368683772161603e-13,941.3753970793977,12000,1500,8,20.0,amazon_stage5_exact_matched_twins_r8,7921df77cbe4986b1fdcdf6efca76d80625d545a715b14f30da72ee3ff289ac0,stage5/seed_026/summary.json
27,"This is an exact counterfactual matched-twin experiment. It does not claim that the synthetic control identities are historical Amazon accounts. Their underlying clean actions, item contexts, positions, timestamps, and ratings are real; only identity labels are regrouped to create exact matched activity.",True,True,True,coalition member occupies attacked version of the slot; control twin occupies exact clean counterpart,True,True,True,0.78,1000.7874347345034,0.5,0.08339895289454195,0.6671916231563356,0.22,0.78,0.22,0.22,0.6671916231563356,0.785408,0.777888,0.0,0.0,1000.7874347345034,12000,1500,8,20.0,amazon_stage5_exact_matched_twins_r8,84e657735aaaaabb0fadeeecc966cfe2ba1c2f52d143a6ef1955eed08442f01d,stage5/seed_027/summary.json
28,"This is an exact counterfactual matched-twin experiment. It does not claim that the synthetic control identities are historical Amazon accounts. Their underlying clean actions, item contexts, positions, timestamps, and ratings are real; only identity labels are regrouped to create exact matched activity.",True,True,True,coalition member occupies attacked version of the slot; control twin occupies exact clean counterpart,True,True,True,0.756,883.6626407037245,0.5,0.07363855339197704,0.5891084271358163,0.244,0.756,0.244,0.244,0.5891084271358163,0.767616,0.758832,0.0,0.0,883.6626407037245,12000,1500,8,20.0,amazon_stage5_exact_matched_twins_r8,97182e7df9d8c6d8b76fef044fa4b044a7bcd2954d0b63fad18e7320a1259a7d,stage5/seed_028/summary.json
29,"This is an exact counterfactual matched-twin experiment. It does not claim that the synthetic control identities are historical Amazon accounts. Their underlying clean actions, item contexts, positions, timestamps, and ratings are real; only identity labels are regrouped to create exact matched activity.",True,True,True,coalition member occupies attacked version of the slot; control twin occupies exact clean counterpart,True,True,True,0.756,971.5188293815895,0.5,0.08095990244846579,0.6476792195877265,0.244,0.756,0.244,0.244,0.6476792195877263,0.76896,0.758688,1.1102230246251565e-16,2.2737367544323206e-13,971.5188293815897,12000,1500,8,20.0,amazon_stage5_exact_matched_twins_r8,aab38f3aca4c83b12c3f74ea3590a5bae0f4a25d950bd08a5b81f2e475607bff,stage5/seed_029/summary.json
