seed,interpretation_guard,invariants.all_accounts_have_exactly_r_exposures,invariants.loo_histograms_have_size_29,invariants.same_reference_used_for_original_and_loo,invariants.scored_review_removed_from_attack_and_clean_worlds,invariants.stage4_attack_world_reused_without_modification,invariants.stage4_r8_identity_assignment_reused_without_modification,metrics.fraction_accounts_loo_score_positive,metrics.loo_matched_twin_auc,metrics.loo_mean_paired_gap,metrics.loo_misordering_probability,metrics.mean_direct_self_component,metrics.median_direct_self_component,metrics.original_matched_twin_auc,metrics.original_mean_paired_gap,metrics.original_misordering_probability,metrics.pearson_original_vs_loo_score,metrics.retained_mean_gap_fraction,metrics.spearman_original_vs_loo_score,population.exposures_per_account,population.n_exposures,population.n_synthetic_accounts,source_stage4.attack_world_sha256,source_stage4.modified_ratings_k,source_stage4.n_items,source_stage4.reuse_r,source_stage4.selected_lambda,stage,_source_member
10,"Stage 11 is an offline diagnostic, not the deployable online score. Each scored synthetic account's own review is removed from both attacked and clean worlds before recomputing paired evidence.",True,True,True,True,True,True,0.776,0.776,0.6436672697205407,0.224,-0.03172863986163297,-0.028369955163784544,0.728,0.6119386298589078,0.272,0.9914943413658802,1.0518493821332189,0.9897511342184622,8,12000,1500,0c38945661ccd4eb0be69f9fc79f2cafb76d8e94a0daaa9265416f4bb9850934,6,2000,8,20.0,amazon_stage11_leave_one_out_self_influence,stage11_self_influence_loo/seed_010/summary.json
11,"Stage 11 is an offline diagnostic, not the deployable online score. Each scored synthetic account's own review is removed from both attacked and clean worlds before recomputing paired evidence.",True,True,True,True,True,True,0.8273333333333334,0.8273333333333334,0.7679878239950566,0.17266666666666666,-0.008845673685531085,-0.007008704010665001,0.804,0.7591421503095256,0.196,0.99177399613672,1.0116521967353866,0.9891787997134791,8,12000,1500,c21565ab259766109fbad2ce0c51e5c9061a832b8f039bd88de567c7dccbdfd8,6,2000,8,20.0,amazon_stage11_leave_one_out_self_influence,stage11_self_influence_loo/seed_011/summary.json
12,"Stage 11 is an offline diagnostic, not the deployable online score. Each scored synthetic account's own review is removed from both attacked and clean worlds before recomputing paired evidence.",True,True,True,True,True,True,0.784,0.784,0.598892134501919,0.216,-0.03187839072366776,-0.030668005636084142,0.748,0.5670137437782514,0.252,0.9901074323847342,1.0562215485488031,0.9877135786584901,8,12000,1500,2000cdf3e6201d6269f26826102349cb4709bdcc762a2a2a521ed0f03d1301f9,6,2000,8,20.0,amazon_stage11_leave_one_out_self_influence,stage11_self_influence_loo/seed_012/summary.json
13,"Stage 11 is an offline diagnostic, not the deployable online score. Each scored synthetic account's own review is removed from both attacked and clean worlds before recomputing paired evidence.",True,True,True,True,True,True,0.7626666666666667,0.7626666666666667,0.583145385270289,0.23733333333333334,-0.03284329890799635,-0.03276430943095017,0.704,0.5503020863622926,0.296,0.9908005595773546,1.0596823085391212,0.9895934243814923,8,12000,1500,9d39ffd155ab7fd116dba14b81bb290a47241c4ade8fcd1db0d440ce3c2e228c,6,2000,8,20.0,amazon_stage11_leave_one_out_self_influence,stage11_self_influence_loo/seed_013/summary.json
14,"Stage 11 is an offline diagnostic, not the deployable online score. Each scored synthetic account's own review is removed from both attacked and clean worlds before recomputing paired evidence.",True,True,True,True,True,True,0.7766666666666666,0.7766666666666666,0.59450383184855,0.22333333333333333,-0.03973809116707601,-0.03566954829659896,0.76,0.554765740681474,0.24,0.9908519118436595,1.0716303986584712,0.9881134469311522,8,12000,1500,c67a3f67383634c1d19186c12a6834aeb361ea0ebee9c21ef575a96a6cb0eae5,6,2000,8,20.0,amazon_stage11_leave_one_out_self_influence,stage11_self_influence_loo/seed_014/summary.json
15,"Stage 11 is an offline diagnostic, not the deployable online score. Each scored synthetic account's own review is removed from both attacked and clean worlds before recomputing paired evidence.",True,True,True,True,True,True,0.792,0.792,0.658012768898787,0.208,-0.021348215416893492,-0.016730119123556264,0.776,0.6366645534818934,0.224,0.9919547041257805,1.0335313396986545,0.9893062656721692,8,12000,1500,28993c11fcb5bead56ad7e49a420a4142473930e0b813f93c0669f8d75341534,6,2000,8,20.0,amazon_stage11_leave_one_out_self_influence,stage11_self_influence_loo/seed_015/summary.json
16,"Stage 11 is an offline diagnostic, not the deployable online score. Each scored synthetic account's own review is removed from both attacked and clean worlds before recomputing paired evidence.",True,True,True,True,True,True,0.796,0.796,0.6497219169921293,0.204,-0.027209536893190812,-0.023090398592366446,0.78,0.6225123800989385,0.22,0.990654954434954,1.0437092301503568,0.9884349376431094,8,12000,1500,b543c2889d8a364a0d75b517e05287881fb16db5f42ef92300eda421cd408090,6,2000,8,20.0,amazon_stage11_leave_one_out_self_influence,stage11_self_influence_loo/seed_016/summary.json
17,"Stage 11 is an offline diagnostic, not the deployable online score. Each scored synthetic account's own review is removed from both attacked and clean worlds before recomputing paired evidence.",True,True,True,True,True,True,0.786,0.786,0.6612037678438605,0.214,-0.02764265708835026,-0.028315926573248107,0.748,0.6335611107555101,0.252,0.9902641685813202,1.0436306089800667,0.9893941392758613,8,12000,1500,d8ad716247b9b260d6e7a9b557c859f2598db45a4989149d4be2088bb5f3ba46,6,2000,8,20.0,amazon_stage11_leave_one_out_self_influence,stage11_self_influence_loo/seed_017/summary.json
18,"Stage 11 is an offline diagnostic, not the deployable online score. Each scored synthetic account's own review is removed from both attacked and clean worlds before recomputing paired evidence.",True,True,True,True,True,True,0.7206666666666667,0.7206666666666667,0.5689270867958456,0.2793333333333333,-0.039804869247237334,-0.04132889075483087,0.668,0.5291222175486082,0.332,0.99213443663388,1.0752281191888917,0.9913518797958147,8,12000,1500,c6c34d9c1845c8193060d5a7fffcfb3fe6c1b04aaca4eb7b1bdb73b41f7e431e,6,2000,8,20.0,amazon_stage11_leave_one_out_self_influence,stage11_self_influence_loo/seed_018/summary.json
19,"Stage 11 is an offline diagnostic, not the deployable online score. Each scored synthetic account's own review is removed from both attacked and clean worlds before recomputing paired evidence.",True,True,True,True,True,True,0.786,0.786,0.5773790087723457,0.214,-0.032995580798326804,-0.03337318473973194,0.748,0.5443834279740188,0.252,0.9907016490578708,1.0606109207275531,0.9884602605183924,8,12000,1500,64706dcc2ab35cd0aaa6c2379b626853e7f0009638dad769dfd6a16181faa757,6,2000,8,20.0,amazon_stage11_leave_one_out_self_influence,stage11_self_influence_loo/seed_019/summary.json
20,"Stage 11 is an offline diagnostic, not the deployable online score. Each scored synthetic account's own review is removed from both attacked and clean worlds before recomputing paired evidence.",True,True,True,True,True,True,0.772,0.772,0.62100808431361,0.228,-0.03328542846127978,-0.038237949301517415,0.724,0.5877226558523302,0.276,0.991990459281795,1.0566345845780072,0.9905389611398918,8,12000,1500,f5806d5fc0779cadbd48eaa7e615cd0cf4a223c7a60b9e9604e1e4989acd581b,6,2000,8,20.0,amazon_stage11_leave_one_out_self_influence,stage11_self_influence_loo/seed_020/summary.json
21,"Stage 11 is an offline diagnostic, not the deployable online score. Each scored synthetic account's own review is removed from both attacked and clean worlds before recomputing paired evidence.",True,True,True,True,True,True,0.7866666666666666,0.7866666666666666,0.6137588494480003,0.21333333333333335,-0.027235173426993317,-0.023469944054316835,0.756,0.586523676021007,0.244,0.9912765524386792,1.046434908837368,0.989499553422048,8,12000,1500,424d6aab5d27a2beccb22ed550ba1284f084ce57b8a57e96bae41de0adc83da8,6,2000,8,20.0,amazon_stage11_leave_one_out_self_influence,stage11_self_influence_loo/seed_021/summary.json
22,"Stage 11 is an offline diagnostic, not the deployable online score. Each scored synthetic account's own review is removed from both attacked and clean worlds before recomputing paired evidence.",True,True,True,True,True,True,0.776,0.776,0.6016296197107538,0.224,-0.03216119220917633,-0.03172619954139008,0.74,0.5694684275015774,0.26,0.9900180248159719,1.0564758126280622,0.9887638959586792,8,12000,1500,972d804efac22e959ce67067b77e2d80ea58f4dcec72a4a8178a99dba64344b0,6,2000,8,20.0,amazon_stage11_leave_one_out_self_influence,stage11_self_influence_loo/seed_022/summary.json
23,"Stage 11 is an offline diagnostic, not the deployable online score. Each scored synthetic account's own review is removed from both attacked and clean worlds before recomputing paired evidence.",True,True,True,True,True,True,0.7793333333333333,0.7793333333333333,0.6582199585516296,0.22066666666666668,-0.02718318980713489,-0.025871399552278795,0.74,0.6310367687444947,0.26,0.9911074695421388,1.0430770299822916,0.9896313883517679,8,12000,1500,1e9974b35070a6b4452ddd03ac0cfd81d64a10258a0b3770545e39bd77586b00,6,2000,8,20.0,amazon_stage11_leave_one_out_self_influence,stage11_self_influence_loo/seed_023/summary.json
24,"Stage 11 is an offline diagnostic, not the deployable online score. Each scored synthetic account's own review is removed from both attacked and clean worlds before recomputing paired evidence.",True,True,True,True,True,True,0.7906666666666666,0.7906666666666666,0.6369058460536042,0.20933333333333334,-0.025174101952263855,-0.026705480698902162,0.76,0.6117317441013403,0.24,0.9918842321572171,1.0411521916183142,0.9896053161646257,8,12000,1500,100858967310b2ce6b5c95d4fc52144d9a344e5026d0719dfc8c6bbfa1ba14d5,6,2000,8,20.0,amazon_stage11_leave_one_out_self_influence,stage11_self_influence_loo/seed_024/summary.json
25,"Stage 11 is an offline diagnostic, not the deployable online score. Each scored synthetic account's own review is removed from both attacked and clean worlds before recomputing paired evidence.",True,True,True,True,True,True,0.7973333333333333,0.7973333333333333,0.6664220846851868,0.20266666666666666,-0.022038016324436492,-0.024295959800752276,0.76,0.6443840683607504,0.24,0.9908695757920586,1.0342001259908535,0.9887923884981576,8,12000,1500,ce7a602e8c19a5ae0d8b5d17ca51c8dba79170e2773c1bac4df4034ce2a26b3e,6,2000,8,20.0,amazon_stage11_leave_one_out_self_influence,stage11_self_influence_loo/seed_025/summary.json
26,"Stage 11 is an offline diagnostic, not the deployable online score. Each scored synthetic account's own review is removed from both attacked and clean worlds before recomputing paired evidence.",True,True,True,True,True,True,0.812,0.812,0.6495392147473477,0.188,-0.021955616694415786,-0.023143866191555562,0.752,0.6275835980529318,0.248,0.9913500473807354,1.034984369831418,0.989339567279968,8,12000,1500,7921df77cbe4986b1fdcdf6efca76d80625d545a715b14f30da72ee3ff289ac0,6,2000,8,20.0,amazon_stage11_leave_one_out_self_influence,stage11_self_influence_loo/seed_026/summary.json
27,"Stage 11 is an offline diagnostic, not the deployable online score. Each scored synthetic account's own review is removed from both attacked and clean worlds before recomputing paired evidence.",True,True,True,True,True,True,0.816,0.816,0.6965065234140884,0.184,-0.029314900257752914,-0.027999084703860255,0.78,0.6671916231563356,0.22,0.9908686311267675,1.0439377522743323,0.9899681929946648,8,12000,1500,84e657735aaaaabb0fadeeecc966cfe2ba1c2f52d143a6ef1955eed08442f01d,6,2000,8,20.0,amazon_stage11_leave_one_out_self_influence,stage11_self_influence_loo/seed_027/summary.json
28,"Stage 11 is an offline diagnostic, not the deployable online score. Each scored synthetic account's own review is removed from both attacked and clean worlds before recomputing paired evidence.",True,True,True,True,True,True,0.7953333333333333,0.7953333333333333,0.6161401181965414,0.20466666666666666,-0.027031691060724984,-0.0246057334419265,0.756,0.5891084271358163,0.244,0.9910626890620199,1.045885765362669,0.9895019845625498,8,12000,1500,97182e7df9d8c6d8b76fef044fa4b044a7bcd2954d0b63fad18e7320a1259a7d,6,2000,8,20.0,amazon_stage11_leave_one_out_self_influence,stage11_self_influence_loo/seed_028/summary.json
29,"Stage 11 is an offline diagnostic, not the deployable online score. Each scored synthetic account's own review is removed from both attacked and clean worlds before recomputing paired evidence.",True,True,True,True,True,True,0.792,0.792,0.6724822349219103,0.208,-0.02480301533418384,-0.03165330613878506,0.756,0.6476792195877265,0.244,0.990711195709017,1.0382952155697878,0.9888029202202386,8,12000,1500,aab38f3aca4c83b12c3f74ea3590a5bae0f4a25d950bd08a5b81f2e475607bff,6,2000,8,20.0,amazon_stage11_leave_one_out_self_influence,stage11_self_influence_loo/seed_029/summary.json
